Sep=;
DNS Ip; hostname; DNS Organization; whoami 'ns'; ns location; ns distance; whoami 'ecs'; whoami 'ip'; Akamai Edge; Akamai Edge Location; Akamai Edge Distance; Akamai Edge Pretransfer; Netflix Edge; Netflix Edge Location; Netflix Edge Distance; Netflix Edge Pretransfer; Youtube Edge; Youtube Edge Location; Youtube Edge Distance; Youtube Edge Pretransfer
208.67.222.123; resolver1-fs.opendns.com;  AS36692 Cisco OpenDNS, LLC; 146.112.135.64;  Copenhagen, DK; 9; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.74.73.31;  Dublin,IE; 28; 143.2; 216.58.211.142;  London,GB; 14; 65.7
208.67.222.220; resolver3.opendns.com;  AS36692 Cisco OpenDNS, LLC; 146.112.135.66;  Copenhagen,DK; 10; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.155.178.5;  Dublin,IE; 28; 124.9; 172.217.22.174;  Mountain View,US; 14; 81.9
208.67.222.222; resolver1.opendns.com;  AS36692 Cisco OpenDNS, LLC; 146.112.135.67;  Copenhagen, DK; 9; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.170.196.176;  Dublin,IE; 28; 152.0; 142.250.74.46;  Mountain View,US; 14; 88.9
208.67.222.222; resolver1.opendns.com;  AS36692 Cisco OpenDNS, LLC; 146.112.135.67;  Copenhagen, DK; 9; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.170.196.176;  Dublin,IE; 28; 152.0; 142.250.74.46;  Mountain View,US; 14; 88.9
208.67.222.222; resolver1.opendns.com;  AS36692 Cisco OpenDNS, LLC; 146.112.135.67;  Copenhagen, DK; 9; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.170.196.176;  Dublin,IE; 28; 152.0; 142.250.74.46;  Mountain View,US; 14; 88.9
209.130.139.2; dns2.roc.gblx.net;  AS3549 Level 3 Parent, LLC; 8.0.16.128;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.225.92.8;  Ashburn,US; 38; 324.2; 172.217.23.46;  London, GB; 20; 460.1
209.244.0.4; resolver2.level3.net;  AS3356 Level 3 Parent, LLC; 8.0.18.136;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 54.160.93.182;  Ashburn,US; 38; 223.6; 216.58.207.174;  London, GB; 20; 1129.9
213.115.226.2; ns1.gns.se;  AS2119 Telenor Norge AS; 213.115.226.2;  Stockholm, SE; ???; ; ; 2.22.238.30;  Stockholm, SE; 12; 2337.4; 54.155.178.5;  Dublin,IE; 28; 124.9; 216.58.211.14;  London, GB; 14; 183.0
213.115.226.2; ns1.gns.se;  AS2119 Telenor Norge AS; 213.115.226.2;  Stockholm, SE; ???; ; ; 2.22.238.30;  Stockholm, SE; 12; 2337.4; 54.155.178.5;  Dublin,IE; 28; 124.9; 216.58.211.14;  London, GB; 14; 183.0
216.146.35.35; rdns.dynect.net;  AS33517 Oracle Corporation; 162.88.85.6;  Frankfurt am Main, DE; 15; 155.4.129.0/24/24; 162.88.85.6; 104.117.222.253;  Frankfurt am Main, DE; 16; 104.8; 3.230.129.93;  Ashburn,US; 37; 253.7; 172.217.23.46;  London, GB; 20; 460.1
216.146.35.35; rdns.dynect.net;  AS33517 Oracle Corporation; 162.88.85.6;  Frankfurt am Main, DE; 15; 155.4.129.0/24/24; 162.88.85.6; 104.117.222.253;  Frankfurt am Main, DE; 16; 104.8; 3.230.129.93;  Ashburn,US; 37; 253.7; 172.217.23.46;  London, GB; 20; 460.1
217.115.40.123; 217-115-40-123.cust.bredband2.com;  AS29518 Bredband2 AB; 217.115.40.126;  Stockholm, SE; 11; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 54.170.196.176;  Dublin,IE; 28; 152.0; 172.217.21.142;  Mountain View,US; 14; 110.9
23.253.163.53; null;  AS19994 Rackspace Hosting; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
4.2.2.1; a.resolvers.level3.net;  AS3356 Level 3 Parent, LLC; 8.0.18.9;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.225.92.8;  Ashburn,US; 38; 324.2; 216.58.215.238;  Zürich, CH; 20; 159.7
4.2.2.1; a.resolvers.level3.net;  AS3356 Level 3 Parent, LLC; 8.0.18.9;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.225.92.8;  Ashburn,US; 38; 324.2; 216.58.215.238;  Zürich, CH; 20; 159.7
4.2.2.1; a.resolvers.level3.net;  AS3356 Level 3 Parent, LLC; 8.0.18.9;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.225.92.8;  Ashburn,US; 38; 324.2; 216.58.215.238;  Zürich, CH; 20; 159.7
4.2.2.2; b.resolvers.level3.net;  AS3356 Level 3 Parent, LLC; 192.221.146.134;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.211.157.115;  Ashburn,US; 37; 737.8; 172.217.168.78;  Zürich, CH; 20; 148.7
4.2.2.2; b.resolvers.level3.net;  AS3356 Level 3 Parent, LLC; 192.221.146.134;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.211.157.115;  Ashburn,US; 37; 737.8; 172.217.168.78;  Zürich, CH; 20; 148.7
4.2.2.4; d.resolvers.level3.net;  AS3356 Level 3 Parent, LLC; 8.0.16.133;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 54.160.93.182;  Ashburn,US; 38; 223.6; 172.217.22.206;  Mountain View, US; 20; 262.8
4.2.2.6; f.resolvers.level3.net;  AS3356 Level 3 Parent, LLC; 192.221.146.142;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.211.157.115;  Ashburn,US; 37; 737.8; 172.217.168.78;  Zürich, CH; 20; 148.7
45.90.28.55; dns1.nextdns.io;  AS34939 nextdns, Inc.; 86.106.103.153;  Stockholm, SE; 14; ; ; 23.60.27.220;  Stockholm, SE; 11; 135.8; 54.74.73.31;  Dublin,IE; 28; 143.2; 142.250.150.91;  Stockholm,SE; 27; 211.9
46.246.29.69; null;  AS42708 GleSYS AB; 46.246.29.70;  Stockholm, SE; 11; ; ; 23.32.108.33;  Stockholm,SE; 12; 46.8; 54.242.237.204;  Ashburn, US; 36; 0; 142.250.74.46;  Mountain View,US; 14; 88.9
64.212.106.84; dns1.jfk.gblx.net;  AS3549 Level 3 Parent, LLC; 192.221.146.133;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 54.155.246.232;  Dublin,IE; 28; 158.4; 172.217.168.46;  Zürich, CH; 20; 122.0
64.6.64.6; null;  AS19905 NeuStar, Inc.; 156.154.85.143;  Stockholm,SE; 13; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 18.200.8.190;  Dublin,IE; 27; 120.1; 173.194.222.136;  Sosnovyy Bor, RU; 27; 72.7
66.28.0.45; res1.dns.cogentco.com;  AS174 Cogent Communications; 149.6.140.26;  Frankfurt am Main, DE; 14; ; ; 104.125.18.76;  Frankfurt am Main,DE; 17; 140.0; 3.230.129.93;  Ashburn,US; 37; 253.7; 142.250.200.14;  Mountain View, US; 22; 197.2
67.17.215.132; dns1.snv.gblx.net;  AS3549 Level 3 Parent, LLC; 8.0.16.137;  Frankfurt am Main, DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 18.200.8.190;  Dublin,IE; 27; 120.1; 172.217.20.238;  London, GB; 20; 122.3
74.82.42.42; ordns.he.net;  AS6939 Hurricane Electric LLC; 216.66.80.90;  Redwood City, US; 9; ; ; 2.19.124.127;  Älta, SE; 12; 54.9; 3.211.157.115;  Ashburn,US; 37; 737.8; 172.217.21.174;  Mountain View,US; 14; 70.3
